user,user_group,liked_videos,recommended_playlists,target_genre,likes_per_step,target_likes_per_step,target_songs_per_step
0,BS,"895921, 1368880, 1127433, 1363563, 1376184, 851262, 711228, 898662, 1119372, 1274552, 1504229, 692787, 1391776, 687273, 558920, 515971, 501148, 848410, 1218571, 1120110, 634480, 528056, 1129134, 1240469, 1394004, 1103378, 681333, 901254, 683970, 880476, 1122639, 559172, 1367239","294, 295, 296, 297, 298, 299",R&B/Soul,"[4, 4, 2, 2, 1, 1]","[4, 4, 2, 2, 1, 1]","[20, 20, 20, 20, 20, 20]"
2,SSA,"1082160, 845442, 514871, 1169201, 1142564, 851051, 1123733, 523285, 1519959, 1059352, 1282672, 1392359, 507927, 1413876, 687724, 862872, 1144502, 902240, 524619, 1104077, 1069063, 684361, 1128391, 690823, 504504, 874155, 1520437, 1266696, 633718, 898017, 1470357, 876782, 1455903, 1471275, 1456637, 514160, 1069863, 895646, 821565, 561117, 874539, 1104802, 1173416, 1163357, 532683, 1103668, 1514074, 1095974, 1140018, 1162380, 886095, 883080, 1148488, 1082545, 853427, 880785, 1291683, 1336069, 918863, 885553, 1110064, 692497, 851542, 831472, 1499697","278, 279, 280, 281, 282, 283",Rap/Hip-Hop,"[5, 8, 7, 8, 9, 9]","[0, 0, 1, 2, 5, 9]","[0, 0, 2, 6, 10, 20]"
1,SSP,"724172, 1361163, 1163702, 723216, 879176, 1105016, 1312457, 1163457, 878024, 1280145, 687848, 1161559, 1061768, 1314905, 850164, 515492, 1497641, 1400899, 688498, 1044804, 1497959, 884305, 679677, 832003, 1475280, 1261270, 1416863, 514819, 1267226, 1281989, 886342, 905860, 1145208, 1417878, 502787, 1141525, 699122, 1444981, 833068, 672134, 839694, 696493, 1352110, 1243178, 681058, 692141, 876980, 523257, 847796, 699027, 1105570, 1278309, 689438, 687628, 515608, 1325737, 1535170, 1090931, 506558, 1100407, 859544, 1307096, 841561","277, 284, 285, 286, 287, 288",Rock,"[12, 9, 8, 8, 6, 4]","[0, 0, 1, 1, 4, 4]","[0, 0, 2, 2, 7, 20]"
5,BS,"1069818, 1190764, 1204096, 1116905, 1335500, 1102927, 560268, 1510759, 679211, 634469, 1364097, 1161512, 679579, 1090974, 1501890, 1095472, 1447186, 669672, 511058, 840990, 1336026, 1482123, 504129, 1157145, 852712, 1314457, 1287570, 1517982, 501508, 1099767, 841846, 679184, 671893","260, 261, 263, 264, 265, 266",Jazz,"[3, 5, 2, 1, 1, 1]","[3, 5, 2, 1, 1, 1]","[20, 20, 20, 20, 20, 20]"
7,SSP,"902117, 1484461, 1021892, 879461, 1319647, 692983, 1097458, 895946, 1380716, 1238655, 1087184, 998160, 1494016, 1065350, 1304047, 1374265, 1484686, 896932, 517150, 1338280, 1084194, 1306788, 1492776, 1057751, 1167731, 1246018, 1167822, 1475010, 1259459, 1093354, 999910, 1282984, 1510159, 904216, 1380668, 842266, 1085368, 1321092, 864759, 1471775, 1517900, 1361055, 1164670, 1056017, 1314061, 1271567, 1433377, 1508707, 1496578, 1172406, 1489868, 501501, 1281842, 1373017, 1215960, 1331292, 1127618, 502742, 1233508, 1225546, 889491, 1383322, 887305, 1243481, 1179009","253, 254, 255, 256, 257, 258",Rap/Hip-Hop,"[14, 12, 10, 8, 4, 2]","[0, 0, 0, 1, 2, 2]","[0, 0, 2, 8, 14, 19]"
4,BS,"1489157, 1259843, 1035034, 860339, 508957, 1123741, 852975, 1353121, 840967, 670600, 680490, 1266711, 981080, 895955, 1396119, 1087283, 1068400, 688775, 1063299, 674713, 1487903, 1098340, 1101856, 1148321, 1064770, 1119939, 1254246, 1168185, 872626, 1392375, 633938, 1234286, 1114108, 855283, 713505","267, 268, 269, 270, 271, 272",R&B/Soul,"[4, 4, 3, 2, 1, 1]","[4, 4, 3, 2, 1, 1]","[20, 20, 20, 20, 20, 20]"
8,SSP,"1160691, 832458, 1493606, 1422585, 1330571, 1103939, 866691, 996772, 514653, 1098340, 502952, 833700, 1119409, 1140340, 1095474, 1137049, 713553, 1234286, 933477, 980529, 878106, 514270, 1329728, 1065350, 1400920, 502956, 1072704, 1511796, 510347, 502988, 841138, 848835, 1227142, 1518554, 1513194, 1268963, 691460, 1487789, 977095, 1518581, 501629, 1399077, 1121945, 1268968, 1267676, 1069172, 1320857, 1349885, 515729, 1096608, 688398, 1259388, 1402172, 1199280, 840962, 1266708, 508166, 903153, 871162, 1070837, 1165475, 516158","246, 247, 248, 249, 250, 252",Rock,"[8, 7, 8, 8, 5, 9]","[0, 0, 0, 2, 4, 9]","[0, 0, 1, 3, 12, 20]"
6,SSP,"864490, 1290817, 523704, 1108032, 845919, 1431077, 1405862, 1362291, 1424943, 1156067, 842681, 844354, 1124563, 1366279, 1201636, 891738, 1218574, 1198530, 1119931, 899018, 1374174, 507999, 1072831, 1218565, 561262, 878468, 1243450, 1218446, 1357282, 523027, 1295425, 886501, 1119428, 688477, 1469312, 1340997, 974255, 524832, 1328484, 1103012, 735090, 1482261, 1024385, 1102567, 889614, 1518007, 1086713, 1471096, 560187, 1218550","242, 243, 244, 245, 251, 262",Alternative/Indie,"[8, 9, 8, 5, 1, 0]","[0, 0, 2, 2, 0, 0]","[1, 3, 8, 10, 8, 20]"
10,SSA,"856731, 1391096, 698991, 887327, 1130043, 1235967, 1108076, 999810, 856517, 1297623, 833700, 1119409, 897390, 1137049, 1489744, 1265642, 560578, 1209467, 1402697, 854178, 962238, 1080928, 1257781, 1261405, 518541, 853191, 1102178, 833861, 1054471, 1086426, 1119393, 1401820, 1161599, 886233, 825389, 880950, 1125855, 872415, 502960, 881696, 964332, 1088981, 1419308, 1183823, 1367319, 1113947, 1485339, 1337991, 687059, 902150, 879464, 1307774, 871634, 849796, 1391447, 1176242, 531043, 853874, 852816, 902114, 1207647, 1098994, 1035034, 886329, 502030, 1089887, 874122, 1010914, 1066470, 1380485, 1071141, 1464848, 1058115, 1376565, 1362018, 1497439","232, 233, 234, 235, 236, 237",Electronic/Dance,"[11, 9, 7, 8, 11, 12]","[0, 0, 0, 3, 5, 11]","[0, 0, 1, 5, 7, 19]"
11,SSP,"1198247, 1492166, 1408907, 1254815, 675212, 1225181, 1057161, 859417, 1415034, 1144497, 1065240, 828737, 870120, 1524371, 1130075, 1308870, 710686, 889611, 1202090, 1363920, 1176963, 1142047, 1350325, 1122429, 1377241, 507049, 1270444, 1496060, 819197, 1429509, 1155212, 1262549, 694410, 696414, 1504333, 1131194, 1232417, 700644, 1331997, 1372831, 1387117, 524547, 1114568, 1339569, 1179067, 1391455, 508509, 1142060, 687541, 1123520, 977076, 1241372, 516236, 1108105, 1072236, 1035473, 1359745, 966446, 863921, 949691, 1359675","225, 226, 227, 228, 229, 230",Blues,"[7, 7, 7, 11, 8, 8]","[0, 0, 0, 1, 3, 7]","[0, 0, 0, 2, 5, 14]"
12,SSP,"1102207, 1254814, 864065, 1131913, 1124631, 1168794, 684430, 1385693, 874683, 551287, 507178, 1189582, 1286244, 1119705, 699752, 1001178, 683927, 1182271, 899293, 684118, 692308, 1105924, 696896, 713835, 1182054, 1188425, 1136954, 1149280, 671086, 843230, 888064, 1108024, 632813, 1176409, 1145691, 1201821, 706725, 684323, 1362037, 832320, 1068345, 864464, 873591, 675646, 1122368, 1064534, 679522, 673815, 1218445, 1127562, 878640, 634901, 640746, 1070465, 832669","219, 220, 221, 222, 223, 224",Electronic/Dance,"[10, 5, 9, 5, 4, 7]","[0, 0, 1, 0, 1, 6]","[0, 1, 2, 4, 9, 18]"
14,BS,"725071, 1368305, 1314210, 558953, 505274, 1459444, 1328181, 1444282, 1501119, 867048, 1382447, 1278431, 1152849, 1184091, 1423111, 876453, 1472776, 1467406, 882614, 677052, 1175916, 1329828, 514364, 855795, 845332, 1124907, 1408849, 1257140, 1353441, 880391, 1307275, 875467, 1111464, 1312050, 1446144, 1487885, 1435031, 1182155, 1206335, 1265859, 1163237, 1071664, 1406269, 897670, 887157, 880403, 1138224, 1023763, 1119923, 1456214, 1479480, 1355529, 1270426","207, 208, 210, 211, 212, 213",Latin,"[9, 8, 6, 7, 0, 3]","[9, 8, 6, 7, 0, 3]","[20, 20, 20, 20, 20, 20]"
15,SSA,"1182274, 1272139, 1183427, 1098340, 1327803, 886701, 896311, 878106, 1126200, 828410, 695455, 1137592, 700803, 1073538, 687524, 1183398, 1166437, 897390, 1062098, 1086426, 503172, 1132530, 842164, 888246, 844924, 879946, 1073529, 1373781, 1122323, 850109, 1339317, 833700, 905187, 887142, 1101337, 1373984, 1273571, 829405, 1149619, 1218120, 1100318, 1368271, 1504249, 692434, 883538, 1084371, 886427, 1289463, 1365526, 1262344, 1395293, 515596, 888472, 1115226, 1483430, 1123103, 855895, 1099474, 1213935, 713553, 1105869, 830758, 889163, 841138, 1162020, 689984, 693463, 1498775, 715236, 1055655, 690651","198, 199, 200, 201, 202, 203",Hard Rock/Metal,"[9, 11, 6, 9, 8, 11]","[0, 0, 0, 3, 6, 11]","[0, 0, 0, 6, 10, 17]"
13,SSP,"1288972, 690841, 1239270, 1073548, 1081978, 1236937, 1270808, 856066, 1393133, 700508, 1227298, 1241717, 514896, 1329039, 1118671, 1073541, 1356237, 1218294, 1452239, 1282115, 895871, 974255, 889617, 933896, 903028, 1406396, 1430834, 1073026, 1118580, 1529871, 694837, 713918, 858547, 851071, 1316121, 687603, 1356628, 1073512, 1264896, 1262969, 1408957, 1035364, 688951, 898766, 680651, 1386591, 1240737, 698857, 1094740, 1372911, 1073547, 522957","197, 204, 205, 214, 215, 216",Electronic/Dance,"[8, 6, 6, 4, 7, 3]","[0, 0, 1, 0, 2, 3]","[0, 0, 2, 3, 12, 20]"
16,BS,"1097979, 1395920, 849039, 514364, 514499, 515404, 1077934, 1368244, 671866, 1478769, 1230289, 880958, 1127032, 1082544, 1108081, 1177109, 1080925, 887477, 1098292, 1341565","186, 192, 193, 194, 195, 196",Alternative/Indie,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[20, 20, 20, 20, 20, 20]"
17,SSA,"851861, 1275778, 1230103, 1141833, 707561, 1476260, 1143902, 699012, 682493, 1333209, 683509, 511825, 1273066, 1164829, 895813, 1160979, 1142087, 864490, 1313709, 1247299, 1267087, 874942, 1326915, 1450932, 1504229, 1147332, 1425789, 1264145, 1291194, 1468945, 1077784, 1158408, 1189999, 1469106, 885257, 1175503, 1489966, 1468531, 1272179, 1499803, 1213257, 1439753, 1369164, 998160, 1280589, 672591, 1058287, 1354963, 1235960, 863655, 526488, 1481640, 682794, 1524863, 1400168, 1396571, 682957, 1377252","185, 187, 188, 189, 190, 191",Country,"[10, 11, 11, 3, 3, 1]","[0, 0, 1, 0, 1, 1]","[0, 0, 4, 5, 14, 18]"
9,SSA,"1366281, 1099185, 559392, 1127842, 1140720, 1073318, 501631, 1111843, 823797, 1361555, 684034, 514174, 981963, 1427213, 1118261, 1380482, 865027, 1425161, 1164581, 1362037, 1316032, 1201770, 1057066, 514211, 1333286, 1260847, 844369, 879471, 860360, 1114182, 1309832, 1008681, 1122842, 1496057, 1190002, 1104848, 695022, 559354, 1426064, 515651, 1292038, 1082733, 1143958, 672817, 1201443, 1079971, 1382247, 1020786, 1214594, 681356, 528235, 879541, 843790, 551289, 820016, 527841, 1061753, 1090726, 1244718, 524117, 709641, 868923, 1332459, 720642, 1365400, 898505, 843058, 1268444, 1353455, 726439, 723475, 1360899, 863650, 1295561","181, 182, 206, 209, 238, 239",World/Roots,"[12, 8, 9, 8, 14, 10]","[0, 0, 1, 1, 5, 9]","[0, 0, 2, 4, 7, 19]"
18,SSA,"1184645, 515202, 951446, 1387209, 1062190, 1117090, 696264, 1067555, 1509629, 1094740, 964321, 689492, 1183726, 1125664, 1267632, 526764, 688276, 1067601, 1328803, 851093, 1407396, 1235543, 526667, 850367, 1150112, 1372940, 1217084, 957004, 831802, 1328484, 1428772, 1232105, 1149411, 1229143, 1379144, 1285475, 901142, 639070, 849509, 1444260, 867898, 1253907, 957268, 999273, 1168733, 1266723","172, 173, 174, 175, 176, 177",Rock,"[9, 7, 5, 3, 1, 3]","[0, 1, 0, 0, 0, 3]","[1, 4, 3, 7, 11, 18]"
3,SSA,"514653, 711012, 507804, 919586, 1172005, 1191991, 507851, 1066388, 682288, 1112682, 681805, 515150, 514270, 1101856, 668989, 723390, 517289, 1202289, 528555, 1159049, 1071400, 1502425, 1057312, 1369374, 892341, 1149145, 1097813, 515760, 684433, 1257637, 558999, 1347495, 514566, 513951, 514783, 1429798, 1120732, 967199, 822892, 514905, 1078975, 501184, 1103886, 1127697, 1438997, 1182164, 1210612, 863405, 1091346, 1351833, 1382227, 852368, 1240791, 1087314, 1373377, 1530638, 1101007, 859379, 1137781, 1511005, 1424498, 1510524, 676364, 856471, 1511052, 1403346, 696077, 507639","165, 166, 273, 274, 275, 276",Country,"[10, 6, 8, 7, 9, 8]","[0, 1, 1, 5, 5, 7]","[0, 2, 2, 8, 10, 18]"
20,BS,"1401727, 1146555, 1098755, 1087176, 1065114, 1123164, 864546, 1376112, 1201274, 559365, 1268834, 1089345, 700703, 501593, 1059984, 1354549, 1128288, 849470, 1197846, 507918, 1124601, 1218475, 675795, 1384519, 1500334, 1057978, 848100, 526220, 1362642, 1258165","158, 159, 160, 161, 162, 163",Soundtracks,"[1, 2, 1, 2, 3, 2]","[1, 2, 1, 2, 3, 2]","[20, 20, 20, 20, 20, 20]"
19,SSP,"1155559, 1284825, 1397303, 1504844, 1336371, 868136, 1331419, 849304, 1135773, 514789, 889161, 1434417, 1282958, 1284826, 963263, 1471565, 1303048, 1069881, 876941, 1417479, 688758, 1067572, 1503855, 1366674, 1284828, 1201081, 668960, 1257108, 1265743, 1137432, 692858, 1496501, 828239, 1297787, 888795, 1259467, 1174692, 1397301, 898170, 873785, 523987, 1143827, 1108104, 689251, 1302595, 1349517, 1443912, 1086409, 506356, 1284823, 1397302, 840978, 1103275, 1311354, 1306884, 1000371, 671423, 1101007","11, 155, 168, 169, 170, 171",Country,"[2, 7, 10, 9, 11, 4]","[0, 0, 1, 5, 9, 3]","[0, 0, 1, 10, 17, 19]"
